lat,lng,Time,Speed,,,,Speed
33.97175337,71.44817531, 8:13:00 AM,0,,,,0
33.97182046,71.44799734,  8:13:00 AM,4,,,,4
33.97196692,71.44751885,  8:13:00 AM,17,,,,17
33.97271732,71.44778709, 8:14:00 AM,12,,,,12
33.97478915,71.44923766,  8:14:00 AM,32,,,,32
33.97625349,71.45019281,  8:15:00 AM,0,,,,0
33.97650928,71.44979833, 8:15:00 AM,21,,,,21
33.97759669,71.44667321, 8:16:00 AM,12,,,,12
33.97759609,71.44630412,  8:16:00 AM,17,,,,17
33.97921781,71.44507696,  8:16:00 AM,21,,,,21
33.97948498,71.44499649,  8:16:00 AM,10,,,,10
33.9825127,71.44685715,8:17:00 AM,53,,,,53
33.98373823,71.447543,  8:17:00 AM,54,,,,54
33.98456517,71.4487414,  8:17:00 AM,50,,,,50
33.98656528,71.45131075,8:18:00 AM,59,,,,59
33.98777473,71.45243456, 8:18:00 AM,60,,,,60
33.99228498,71.45651813,  8:18:00 AM,45,,,,45
33.99347203,71.45746996, 8:19:00 AM,36,,,,36
33.99540636,71.45842504, 8:19:00 AM,43,,,,43
33.99652817,71.46034011,  8:19:00 AM,45,,,,45
33.99666,71.46215,  8:19:00 AM,47,,,,47
33.99693997,71.46354959,  8:20:00 AM,50,,,,50
33.99708,71.46413,  8:20:00 AM,44,,,,25
33.99715,71.46445,  8:20:00 AM,36,,,,17
33.99719,71.46461,  8:21:00 AM,25,,,,9
33.99723,71.46481,  8:21:00 AM,12,,,,5
33.99728,71.46505,  8:22:00 AM,8,,,,3
33.99730582,71.46523692,  8:22:00 AM,6,,,,2
33.99736,71.46553,  8:22:00 AM,4,,,,2
33.99749,71.46619,  8:22:00 AM,19,,,,19
33.9976,71.46688,  8:23:00 AM,31,,,,31
33.99773,71.46796,  8:23:00 AM,36,,,,36
33.99778895,71.46870296,  8:23:00 AM,42,,,,42
33.99803324,71.4702328,  8:23:00 AM,12,,,,12
33.99834757,71.47506201,  8:23:00 AM,39,,,,39
33.99838823,71.47840686,  8:23:00 AM,26,,,,26
33.99812054,71.48214785,  8:24:00 AM,43,,,,43
33.99792131,71.48567515,  8:24:00 AM,16,,,,16
34.00057936,71.48625869,  8:24:00 AM,37,,,,37
34.00198499,71.48588187,  8:25:00 AM,20,,,,20
34.00194862,71.48508501,  8:25:00 AM,0,,,,0
34.00185573,71.48523798, 8:25:00 AM,10,,,,10
34.00154239,71.48587094, 8:26:00 AM,1,,,,1
34.00154239,71.48587094,  8:26:00 AM,0,,,,0
