lat,lng,MAF,DateTime
33.99791618,71.48786212,3.56,7/29/2019 17:28
33.9979063,71.48645438,3.43,7/29/2019 17:27
33.99787886,71.48621666,3.5,7/29/2019 17:27
33.99837175,71.47647841,12.23,7/29/2019 17:26
33.99810495,71.47045049,3.4,7/29/2019 17:25
33.99739335,71.4656321,11.5,7/29/2019 17:24
33.99722584,71.46510252,3.37,7/29/2019 17:24
33.99707947,71.46426596,3.53,7/29/2019 17:24
33.99707947,71.46426596,6.84,7/29/2019 17:23
33.99702034,71.46407997,3.32,7/29/2019 17:23
33.99698953,71.46362598,3.57,7/29/2019 17:23
33.99680581,71.46275282,3.64,7/29/2019 17:22
33.99642755,71.45919559,3.64,7/29/2019 17:22
33.99556217,71.45845735,17.81,7/29/2019 17:22
33.98635761,71.45110692,10.01,7/29/2019 17:21
33.98544219,71.45007321,11.89,7/29/2019 17:20
33.9848326,71.4490972,3.6,7/29/2019 17:20
33.98415841,71.44807322,5.39,7/29/2019 17:20
33.98019248,71.44548839,6.5,7/29/2019 17:20
33.97788513,71.4461235,3.53,7/29/2019 17:19
33.97881026,71.44580588,19.03,7/29/2019 17:18
33.97985014,71.44534774,15.46,7/29/2019 17:18
33.98462066,71.44934879,12.06,7/29/2019 17:18
33.98462066,71.44934879,14.9,7/29/2019 17:17
33.98462066,71.44934879,3.59,7/29/2019 17:17
33.99225027,71.45689193,3.5,7/29/2019 17:16
33.992411,71.45722113,3.51,7/29/2019 17:16
33.99646896,71.46008502,22.42,7/29/2019 17:15
33.99725648,71.46580511,7.54,7/29/2019 17:14
33.9982339,71.47540926,12.15,7/29/2019 17:12
33.99813198,71.48220211,14.65,7/29/2019 17:11
33.99900177,71.48182587,3.56,7/29/2019 17:10
33.99922433,71.48182578,20.78,7/29/2019 17:10
34.00170092,71.48312306,3.51,7/29/2019 17:09
34.00170092,71.48312306,3.5,7/29/2019 17:09
34.00169849,71.48334891,3.54,7/29/2019 17:09
34.00179587,71.48391736,5.5,7/29/2019 17:09
34.00211662,71.48489286,1.85,7/29/2019 17:08
34.00211662,71.48489286,1.84,7/29/2019 17:08
34.00216163,71.48489592,1.87,7/29/2019 17:07
34.00216163,71.48489592,1.92,7/29/2019 17:06
34.00216163,71.48489592,2.17,7/29/2019 17:05
34.00216163,71.48489592,2.17,7/29/2019 17:04
34.0029093,71.48484879,1.95,7/29/2019 17:03
