lat,lng, name,note,rpm,, name,,,,,Time,rpm,Speed
33.97175337,71.44817531,Speed:  0, 8:13:00 AM,989,0,Speed:  0,,,,, 8:13:00 AM,989,0
33.97182046,71.44799734,Speed:  4,  8:13:00 AM,1248,4,Speed:  4,,,,,  8:13:00 AM,1248,4
33.97196692,71.44751885,Speed:  17,  8:13:00 AM,1115,17,Speed:  17,,,,,  8:13:00 AM,1115,17
33.97271732,71.44778709,Speed:  12, 8:14:00 AM,1487,12,Speed:  12,,,,, 8:14:00 AM,1487,12
33.97478915,71.44923766,Speed:  32,  8:14:00 AM,1127,32,Speed:  32,,,,,  8:14:00 AM,1127,32
33.97625349,71.45019281,Speed:  0,  8:15:00 AM,1521,0,Speed:  0,,,,,  8:15:00 AM,1521,0
33.97650928,71.44979833,Speed:  21, 8:15:00 AM,979,21,Speed:  21,,,,, 8:15:00 AM,979,21
33.97759669,71.44667321,Speed:  12, 8:16:00 AM,864,12,Speed:  12,,,,, 8:16:00 AM,864,12
33.97759609,71.44630412,Speed:  17,  8:16:00 AM,1165,17,Speed:  17,,,,,  8:16:00 AM,1165,17
33.97921781,71.44507696,Speed:  21,  8:16:00 AM,767,21,Speed:  21,,,,,  8:16:00 AM,767,21
33.97948498,71.44499649,Speed:  10,  8:16:00 AM,1290,10,Speed:  10,,,,,  8:16:00 AM,1290,10
33.9825127,71.44685715,Speed:  53,8:17:00 AM,1397,53,Speed:  53,,,,,8:17:00 AM,1397,53
33.98373823,71.447543,Speed:  54,  8:17:00 AM,1405,54,Speed:  54,,,,,  8:17:00 AM,1405,54
33.98456517,71.4487414,Speed:  50,  8:17:00 AM,1443,50,Speed:  50,,,,,  8:17:00 AM,1443,50
33.98656528,71.45131075,Speed:  59,8:18:00 AM,1520,59,Speed:  59,,,,,8:18:00 AM,1520,59
33.98777473,71.45243456,Speed:  60, 8:18:00 AM,1170,60,Speed:  60,,,,, 8:18:00 AM,1170,60
33.99228498,71.45651813,Speed:  45,  8:18:00 AM,1283,45,Speed:  45,,,,,  8:18:00 AM,1283,45
33.99347203,71.45746996,Speed:  36, 8:19:00 AM,2023,36,Speed:  36,,,,, 8:19:00 AM,2023,36
33.99540636,71.45842504,Speed:  43, 8:19:00 AM,1246,43,Speed:  43,,,,, 8:19:00 AM,1246,43
33.99652817,71.46034011,Speed:  45,  8:19:00 AM,1254,45,Speed:  45,,,,,  8:19:00 AM,1254,45
33.99666,71.46215,Speed: 47,  8:19:00 AM,1283,50,Speed: 47,,,,,  8:19:00 AM,1466,47
33.99693997,71.46354959,Speed:  50,  8:20:00 AM,1520,25,Speed:  50,,,,,  8:20:00 AM,1263,50
33.99708,71.46413,Speed: 44,  8:20:00 AM,1254,42,Speed: 44,,,,,  8:20:00 AM,1292,44
33.99715,71.46445,Speed: 36,  8:20:00 AM,1263,12,Speed: 36,,,,,  8:20:00 AM,1487,36
33.99719,71.46461,Speed: 25,  8:21:00 AM,1520,39,Speed: 25,,,,,  8:21:00 AM,1531,25
33.99723,71.46481,Speed: 12,  8:21:00 AM,1466,26,Speed: 12,,,,,  8:21:00 AM,1267,12
33.99728,71.46505,Speed: 8,  8:22:00 AM,922,43,Speed: 8,,,,,  8:22:00 AM,1367,8
33.99730582,71.46523692,Speed:  6,  8:22:00 AM,870,16,Speed:  6,,,,,  8:22:00 AM,1250,6
33.99736,71.46553,Speed:  4,  8:22:00 AM,864,37,Speed:  4,,,,,  8:22:00 AM,1253,4
33.99749,71.46619,Speed: 19,  8:22:00 AM,1170,20,Speed: 19,,,,,  8:22:00 AM,1048,19
33.9976,71.46688,Speed: 31,  8:23:00 AM,1254,0,Speed: 31,,,,,  8:23:00 AM,1660,31
33.99773,71.46796,Speed: 36,  8:23:00 AM,1466,10,Speed: 36,,,,,  8:23:00 AM,922,36
33.99778895,71.46870296,Speed:  42,  8:23:00 AM,1263,1,Speed:  42,,,,,  8:23:00 AM,870,42
33.99803324,71.4702328,Speed:  12,  8:23:00 AM,1292,0,Speed:  12,,,,,  8:23:00 AM,,12
33.99834757,71.47506201,Speed:  39,  8:23:00 AM,1487,,Speed:  39,,,,,  8:23:00 AM,,39
33.99838823,71.47840686,Speed:  26,  8:23:00 AM,1531,,Speed:  26,,,,,  8:23:00 AM,,26
33.99812054,71.48214785,Speed:  43,  8:24:00 AM,1267,,Speed:  43,,,,,  8:24:00 AM,,43
33.99792131,71.48567515,Speed:  16,  8:24:00 AM,1367,,Speed:  16,,,,,  8:24:00 AM,,16
34.00057936,71.48625869,Speed:  37,  8:24:00 AM,1250,,Speed:  37,,,,,  8:24:00 AM,,37
34.00198499,71.48588187,Speed:  20,  8:25:00 AM,1253,,Speed:  20,,,,,  8:25:00 AM,,20
34.00194862,71.48508501,Speed:  0,  8:25:00 AM,1048,,Speed:  0,,,,,  8:25:00 AM,,0
34.00185573,71.48523798,Speed:  10, 8:25:00 AM,1660,,Speed:  10,,,,, 8:25:00 AM,,10
34.00154239,71.48587094,Speed:  1, 8:26:00 AM,922,,Speed:  1,,,,, 8:26:00 AM,,1
34.00154239,71.48587094,Speed:  0,  8:26:00 AM,870,,Speed:  0,,,,,  8:26:00 AM,,0
